City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,chonchi,-42.6128,-73.8092,282.71,85,36,3.47,CL,1698450367
239,tofol,5.3248,163.0078,304.03,70,75,1.54,FM,1698450367
240,charlottetown,46.2352,-63.1267,287.44,91,100,5.66,CA,1698450298
241,saint-joseph,-21.3667,55.6167,296.36,82,81,0.87,RE,1698450368
242,ulanhot,46.0833,122.0833,278.32,37,66,2.0,CN,1698450368
243,anloga,5.7947,0.8973,299.71,83,0,3.18,GH,1698450368
244,saint-francois,46.4154,3.9054,284.07,73,75,3.6,FR,1698450368
245,matoury,4.8483,-52.3317,301.13,83,0,1.54,GF,1698450369
246,mount gambier,-37.8333,140.7667,293.6,33,84,7.08,AU,1698450336
247,palikir - national government center,6.9248,158.1611,302.56,74,100,2.06,FM,1698450369
248,colchani,-20.3,-66.9333,282.48,22,38,9.78,BO,1698450369
249,ta`u,-14.2336,-169.5144,299.45,84,95,9.89,AS,1698450369
